"","L acc","Ch acc","LCI diff","L dec","C dec","L resp","C resp","L/C dec"
"Massloss","0.291","-0.15","0.245","0.339","-0.0964","0.211","-0.0965","-0.0818"
"Respiration","0.333","\textbf{ -0.723 }","\textbf{ 0.606 }","0.0747","\textbf{ -0.732 }","0.19","\textbf{ -0.507 }","-0.364"
"Cellulase activity","\textbf{ 0.657 }","\textbf{ -0.76 }","\textbf{ 0.803 }","0.424","\textbf{ -0.789 }","\textbf{ 0.493 }","\textbf{ -0.611 }","\textbf{ -0.588 }"
"Phenoloxidase activity","\textbf{ 0.632 }","\textbf{ -0.669 }","\textbf{ 0.737 }","0.412","\textbf{ -0.708 }","\textbf{ 0.448 }","\textbf{ -0.503 }","\textbf{ -0.484 }"
"Peroxidase activity","\textbf{ 0.599 }","\textbf{ -0.588 }","\textbf{ 0.677 }","0.41","\textbf{ -0.618 }","0.439","-0.412","-0.435"
"Phenoloxidase/Cellulase","-0.359","\textbf{ 0.642 }","\textbf{ -0.556 }","-0.178","\textbf{ 0.66 }","-0.331","\textbf{ 0.698 }","\textbf{ 0.729 }"
"Peroxidase/Cellulase","\textbf{ -0.538 }","\textbf{ 0.707 }","\textbf{ -0.709 }","-0.377","\textbf{ 0.713 }","\textbf{ -0.554 }","\textbf{ 0.731 }","\textbf{ 0.863 }"
"Protein depolymerization","\textbf{ 0.454 }","-0.332","\textbf{ 0.455 }","0.253","-0.413","0.302","-0.14","-0.289"
"Amino acid immobilization","0.321","-0.0878","0.247","0.271","-0.11","0.192","0.0604","-0.0592"
"N mineralization","\textbf{ 0.466 }","\textbf{ -0.664 }","\textbf{ 0.65 }","0.159","\textbf{ -0.703 }","0.295","-0.45","-0.384"
"NH4 immobilization","\textbf{ 0.507 }","\textbf{ -0.681 }","\textbf{ 0.68 }","0.207","\textbf{ -0.716 }","0.342","\textbf{ -0.477 }","-0.42"
"Nitrification","\textbf{ 0.587 }","\textbf{ -0.707 }","\textbf{ 0.732 }","0.377","\textbf{ -0.721 }","0.431","\textbf{ -0.565 }","\textbf{ -0.497 }"
"NO3 immobilization","\textbf{ 0.596 }","\textbf{ -0.658 }","\textbf{ 0.708 }","0.381","\textbf{ -0.688 }","0.432","\textbf{ -0.519 }","\textbf{ -0.5 }"
"P mineralization","\textbf{ 0.665 }","\textbf{ -0.55 }","\textbf{ 0.684 }","\textbf{ 0.544 }","\textbf{ -0.59 }","\textbf{ 0.58 }","-0.387","\textbf{ -0.479 }"
"P immobilization","0.198","0.00338","0.135","0.139","-0.0411","0.155","0.189","-0.0669"
"Glucan depolymerization","0.206","-0.257","0.275","0.19","-0.221","0.247","-0.225","-0.249"
"Glucose consumption","0.197","-0.341","0.319","0.111","-0.324","0.202","-0.244","-0.225"
"NH4","\textbf{ 0.637 }","\textbf{ -0.647 }","\textbf{ 0.732 }","0.397","\textbf{ -0.699 }","\textbf{ 0.446 }","\textbf{ -0.456 }","\textbf{ -0.479 }"
"NO3","0.128","\textbf{ -0.504 }","0.359","-0.0818","\textbf{ -0.511 }","-0.00814","-0.375","-0.27"
"PO4","\textbf{ 0.623 }","-0.421","\textbf{ 0.572 }","\textbf{ 0.684 }","-0.367","\textbf{ 0.615 }","\textbf{ -0.515 }","\textbf{ -0.455 }"
"C litter","\textbf{ -0.545 }","\textbf{ 0.506 }","\textbf{ -0.578 }","\textbf{ -0.589 }","\textbf{ 0.45 }","\textbf{ -0.631 }","\textbf{ 0.704 }","\textbf{ 0.702 }"
"N litter","0.354","\textbf{ -0.517 }","\textbf{ 0.503 }","0.14","\textbf{ -0.546 }","0.189","-0.286","-0.201"
"P litter","\textbf{ 0.682 }","-0.222","\textbf{ 0.517 }","\textbf{ 0.75 }","-0.204","\textbf{ 0.686 }","-0.211","\textbf{ -0.496 }"
"C:N litter","-0.405","\textbf{ 0.586 }","\textbf{ -0.57 }","-0.173","\textbf{ 0.616 }","-0.234","0.36","0.271"
"C:P litter","\textbf{ -0.636 }","0.174","\textbf{ -0.453 }","\textbf{ -0.758 }","0.136","\textbf{ -0.655 }","0.234","0.425"
"N:P litter","\textbf{ -0.512 }","-0.0287","-0.264","\textbf{ -0.718 }","-0.079","\textbf{ -0.583 }","0.107","0.324"
"K litter","0.391","\textbf{ -0.502 }","\textbf{ 0.532 }","0.148","\textbf{ -0.558 }","0.299","-0.268","\textbf{ -0.453 }"
"Ca litter","0.0212","0.0452","-0.0432","0.214","0.119","0.142","-0.245","-0.138"
