"","L_TIC R","L_TIC p","L_TIC sig","C_TIC R","C_TIC p","C_TIC sig","LCI R","LCI p","LCI sig","L_dec R","L_dec p","L_dec sig","C_dec R","C_dec p","C_dec sig","L_resp R","L_resp p","L_resp sig","C_resp R","C_resp p","C_resp sig","L:C_dec R","L:C_dec p","L:C_dec sig"
"Mass.loss","-0.0308","0.9004","n.s.","0.354","0.1375","n.s.","0.154","0.5281","n.s.","0.149","0.544","n.s.","0.394","0.09489",".","-0.0507","0.8366","n.s.","0.315","0.1895","n.s.","0.0813","0.7407","n.s."
"Cellulase","0.644","0.002935","**","-0.636","0.003396","**","0.0203","0.9341","n.s.","0.51","0.02553","*","-0.644","0.002899","**","0.55","0.01459","*","-0.623","0.004374","**","0.512","0.02505","*"
"Chitinase","0.705","0.0007535","***","-0.665","0.001911","**","-0.0991","0.6865","n.s.","0.536","0.018","*","-0.69","0.001079","**","0.58","0.009263","**","-0.591","0.007738","**","0.598","0.006858","**"
"Phosphatase","0.394","0.09554",".","-0.696","0.000932","***","-0.274","0.2565","n.s.","0.21","0.3876","n.s.","-0.684","0.001229","**","0.281","0.2435","n.s.","-0.641","0.003113","**","0.351","0.1412","n.s."
"Protease","0.242","0.3172","n.s.","-0.0533","0.8284","n.s.","0.401","0.0888",".","0.369","0.1199","n.s.","0.00357","0.9884","n.s.","0.24","0.322","n.s.","-0.172","0.4824","n.s.","0.182","0.4554","n.s."
"Peroxydase","0.557","0.01329","*","-0.509","0.02587","*","0.00652","0.9789","n.s.","0.463","0.04602","*","-0.511","0.02537","*","0.474","0.04038","*","-0.5","0.02917","*","0.473","0.04067","*"
"Phenoloxidase","0.628","0.004026","**","-0.586","0.008355","**","0.04","0.8708","n.s.","0.512","0.02517","*","-0.594","0.007277","**","0.551","0.01452","*","-0.571","0.01062","*","0.503","0.02825","*"
"cell2phen","0.587","0.008263","**","-0.738","0.0003096","***","-0.0906","0.7122","n.s.","0.399","0.09031",".","-0.75","0.0002181","***","0.504","0.02764","*","-0.708","0.0006949","***","0.451","0.05273","."
"cell2per","0.571","0.01075","*","-0.718","0.0005305","***","-0.102","0.6789","n.s.","0.37","0.1193","n.s.","-0.742","0.0002783","***","0.498","0.03006","*","-0.653","0.002428","**","0.422","0.07158","."
"Gross.protein.depolymerization","-0.399","0.09051",".","0.151","0.5368","n.s.","-0.0212","0.9315","n.s.","-0.316","0.1872","n.s.","0.219","0.3667","n.s.","-0.373","0.1153","n.s.","0.109","0.6576","n.s.","-0.315","0.189","n.s."
"Gross.amino.acid.immobilization","0.423","0.0714",".","-0.199","0.4135","n.s.","0.462","0.04644","*","0.564","0.01189","*","-0.116","0.6367","n.s.","0.423","0.07109",".","-0.332","0.1649","n.s.","0.349","0.1427","n.s."
"Gross.N.mineralization","0.524","0.02139","*","-0.573","0.01033","*","-0.277","0.2501","n.s.","0.35","0.142","n.s.","-0.597","0.006986","**","0.383","0.1051","n.s.","-0.49","0.03331","*"," 0.5","0.02918","*"
"Gross.NH4.immobilization","0.498","0.03011","*","-0.557","0.01324","*","-0.24","0.3214","n.s.","0.335","0.161","n.s.","-0.576","0.00984","**","0.366","0.1234","n.s.","-0.487","0.03447","*","0.466","0.04412","*"
"Gross.nitrification","0.672","0.001615","**","-0.554","0.01384","*","-0.168","0.491","n.s.","0.515","0.02409","*","-0.593","0.007477","**","0.535","0.01836","*","-0.476","0.03925","*","0.613","0.005224","**"
"Gross.NO3.immobilization","0.669","0.001741","**","-0.52","0.02248","*","-0.14","0.5685","n.s.","0.528","0.02014","*","-0.556","0.01336","*","0.542","0.01648","*","-0.45","0.05301",".","0.612","0.005358","**"
"Gross.P.mineralization","0.509","0.03691","*","-0.513","0.03526","*","0.218","0.4006","n.s.","0.52","0.03258","*","-0.439","0.07775",".","0.435","0.08063",".","-0.58","0.01474","*","0.431","0.08444","."
"Gross.P.immobilization","0.214","0.4102","n.s.","-0.24","0.3535","n.s.","0.375","0.1379","n.s.","0.321","0.2096","n.s.","-0.138","0.5986","n.s.","0.212","0.4138","n.s.","-0.387","0.1252","n.s.","0.145","0.5785","n.s."
"Glucan.Gross.Depolymerisation","0.388","0.1118","n.s.","-0.661","0.002839","**","-0.0737","0.7712","n.s.","0.257","0.3035","n.s.","-0.617","0.006418","**","0.299","0.2288","n.s.","-0.605","0.007872","**","0.285","0.2517","n.s."
"Glucan.Net.Depolymerisation","-0.384","0.1158","n.s.","0.612","0.006947","**","-0.0409","0.8721","n.s.","-0.246","0.325","n.s.","0.593","0.009439","**","-0.33","0.1813","n.s.","0.57","0.01354","*","-0.222","0.3762","n.s."
"Starch","0.407","0.1173","n.s.","-0.334","0.2059","n.s.","0.0576","0.8322","n.s.","0.416","0.1093","n.s.","-0.292","0.2728","n.s.","0.453","0.07817",".","-0.34","0.1982","n.s.","0.398","0.1271","n.s."
"NH4.concentration","0.346","0.1464","n.s.","-0.634","0.003561","**","-0.295","0.2206","n.s.","0.202","0.4079","n.s.","-0.601","0.006474","**","0.233","0.3378","n.s.","-0.571","0.01073","*","0.356","0.1345","n.s."
"NO3.concentration","-0.185","0.4487","n.s.","-0.239","0.3243","n.s.","-0.407","0.08351",".","-0.238","0.3267","n.s.","-0.174","0.4773","n.s.","-0.25","0.3019","n.s.","-0.164","0.5036","n.s.","-0.0379","0.8776","n.s."
"PO4.concentration","0.635","0.003489","**","-0.513","0.02461","*","0.285","0.2377","n.s.","0.605","0.00611","**","-0.49","0.03311","*","0.574","0.01025","*","-0.543","0.01622","*","0.48","0.03767","*"
"Respiration","0.368","0.1465","n.s.","-0.554","0.02101","*","-0.373","0.1403","n.s.","0.202","0.4369","n.s.","-0.536","0.0265","*","0.345","0.1752","n.s.","-0.46","0.06345",".","0.415","0.09734","."
"C_lit","-0.405","0.08582",".","0.54","0.01691","*","-0.57","0.01083","*","-0.347","0.146","n.s.","0.523","0.0216","*","-0.398","0.09115",".","0.684","0.001251","**","-0.0694","0.7776","n.s."
"N_lit","0.396","0.0932",".","-0.458","0.04847","*","-0.427","0.06844",".","0.223","0.358","n.s.","-0.483","0.0362","*","0.244","0.3142","n.s.","-0.285","0.2362","n.s.","0.442","0.05799","."
