"Code","Harvest","Litter","f2b_prot"
"E1-A-I-A","I","AK",5.4
"E1-A-I-C","I","AK",5.4
"E1-A-I-D","I","AK",5.4
"E1-A-I-E","I","AK",5.4
"E1-A-I-F","I","AK",5.4
"E1-A-II-A","II","AK",1.1
"E1-A-II-B","II","AK",1.1
"E1-A-II-C","II","AK",1.1
"E1-A-II-D","II","AK",1.1
"E1-A-II-E","II","AK",1.1
"E1-A-III-A","III","AK",1.8
"E1-A-III-B","III","AK",1.8
"E1-A-III-C","III","AK",1.8
"E1-A-III-D","III","AK",1.8
"E1-A-III-E","III","AK",1.8
"E1-A-IV-B","IV","AK",1.7
"E1-A-IV-C","IV","AK",1.7
"E1-A-IV-D","IV","AK",1.7
"E1-A-IV-E","IV","AK",1.7
"E1-A-IV-F","IV","AK",1.7
"E1-K-I-A","I","KL",9
"E1-K-I-B","I","KL",9
"E1-K-I-C","I","KL",9
"E1-K-I-D","I","KL",9
"E1-K-I-E","I","KL",9
"E1-K-II-A","II","KL",4.5
"E1-K-II-B","II","KL",4.5
"E1-K-II-C","II","KL",4.5
"E1-K-II-D","II","KL",4.5
"E1-K-II-E","II","KL",4.5
"E1-K-III-A","III","KL",2.6
"E1-K-III-B","III","KL",2.6
"E1-K-III-C","III","KL",2.6
"E1-K-III-D","III","KL",2.6
"E1-K-III-E","III","KL",2.6
"E1-K-IV-B","IV","KL",2
"E1-K-IV-C","IV","KL",2
"E1-K-IV-D","IV","KL",2
"E1-K-IV-E","IV","KL",2
"E1-K-IV-F","IV","KL",2
"E1-O-I-A","I","OS",4.9
"E1-O-I-B","I","OS",4.9
"E1-O-I-C","I","OS",4.9
"E1-O-I-D","I","OS",4.9
"E1-O-I-E","I","OS",4.9
"E1-O-II-A","II","OS",5.8
"E1-O-II-B","II","OS",5.8
"E1-O-II-C","II","OS",5.8
"E1-O-II-D","II","OS",5.8
"E1-O-II-E","II","OS",5.8
"E1-O-III-A","III","OS",3.3
"E1-O-III-B","III","OS",3.3
"E1-O-III-C","III","OS",3.3
"E1-O-III-D","III","OS",3.3
"E1-O-III-E","III","OS",3.3
"E1-O-IV-B","IV","OS",1.8
"E1-O-IV-C","IV","OS",1.8
"E1-O-IV-D","IV","OS",1.8
"E1-O-IV-E","IV","OS",1.8
"E1-O-IV-F","IV","OS",1.8
"E1-S-I-A","I","SW",12.1
"E1-S-I-B","I","SW",12.1
"E1-S-I-C","I","SW",12.1
"E1-S-I-D","I","SW",12.1
"E1-S-I-E","I","SW",12.1
"E1-S-II-A","II","SW",5.6
"E1-S-II-B","II","SW",5.6
"E1-S-II-C","II","SW",5.6
"E1-S-II-D","II","SW",5.6
"E1-S-II-E","II","SW",5.6
"E1-S-III-A","III","SW",4.4
"E1-S-III-B","III","SW",4.4
"E1-S-III-C","III","SW",4.4
"E1-S-III-D","III","SW",4.4
"E1-S-III-E","III","SW",4.4
"E1-S-IV-B","IV","SW",2.9
"E1-S-IV-C","IV","SW",2.9
"E1-S-IV-D","IV","SW",2.9
"E1-S-IV-E","IV","SW",2.9
"E1-S-IV-F","IV","SW",2.9
